Country;Loading
Australia;TRUE
Austria;TRUE
Bahrain;TRUE
Belgium;TRUE
Brazil;TRUE
Canada;TRUE
Channel Islands;TRUE
Cyprus;TRUE
Czech Republic;TRUE
Denmark;TRUE
EIRE;TRUE
European Community;TRUE
Finland;TRUE
France;TRUE
Germany;TRUE
Greece;TRUE
Hong Kong;TRUE
Iceland;TRUE
Israel;TRUE
Italy;TRUE
Japan;TRUE
Lebanon;TRUE
Lithuania;TRUE
Malta;TRUE
Netherlands;TRUE
Norway;TRUE
Poland;TRUE
Portugal;TRUE
RSA;TRUE
Saudi Arabia;TRUE
Singapore;TRUE
Spain;TRUE
Sweden;TRUE
Switzerland;TRUE
United Arab Emirates;TRUE
United Kingdom;TRUE
USA;TRUE
Unspecified;FALSE
