ID;StockCode;Description;StockItem
1;23343;20713;FALSE
2;20694;?;FALSE
3;20700;?;FALSE
4;20866;?;FALSE
5;20867;?;FALSE
6;20956;?;FALSE
7;21147;?;FALSE
8;21166;?;FALSE
9;21257;?;FALSE
10;21258;?;FALSE
11;21272;?;FALSE
12;21275;?;FALSE
13;21479;?;FALSE
14;21537;?;FALSE
15;21578;?;FALSE
16;21621;?;FALSE
17;21815;?;FALSE
18;21830;?;FALSE
19;21937;?;FALSE
20;22051;?;FALSE
21;22121;?;FALSE
22;22171;?;FALSE
23;22523;?;FALSE
24;22569;?;FALSE
25;22570;?;FALSE
26;22740;?;FALSE
27;22812;?;FALSE
28;22837;?;FALSE
29;22927;?;FALSE
30;23131;?;FALSE
31;23135;?;FALSE
32;23412;?;FALSE
33;40016;?;FALSE
34;48185;?;FALSE
35;82583;?;FALSE
36;82599;?;FALSE
37;84584;?;FALSE
38;84988;?;FALSE
39;47591B;?;FALSE
40;72802A;?;FALSE
41;72803A;?;FALSE
42;84406B;?;FALSE
43;84877D;?;FALSE
44;84997C;?;FALSE
45;85049D;?;FALSE
46;85123A;?;FALSE
47;85185B;?;FALSE
48;85199L;?;FALSE
49;85175;? sold as sets?;FALSE
50;20856;??;FALSE
51;22030;??;FALSE
52;22572;??;FALSE
53;82582;??;FALSE
54;90191;??;FALSE
55;37479P;??;FALSE
56;84596G;??;FALSE
57;22568;?? missing;FALSE
58;21201;???;FALSE
59;85104;????damages????;FALSE
60;72807B;????missing;FALSE
61;22219;???lost;FALSE
62;72807A;???missing;FALSE
63;72807C;???missing;FALSE
64;21682;?display?;FALSE
65;22459;?lost;FALSE
66;21829;?missing;FALSE
67;22435;?missing;FALSE
68;85172;?sold as sets?;FALSE
69;23343;20713 wrongly marked;FALSE
70;23084;add stock to allocate online orders;FALSE
71;51020B;adjust;FALSE
72;B;Adjust bad debt;FALSE
73;20665;adjustment;FALSE
74;21181;adjustment;FALSE
75;21319;adjustment;FALSE
76;21794;adjustment;FALSE
77;21829;adjustment;FALSE
78;22548;adjustment;FALSE
79;22687;adjustment;FALSE
80;22740;adjustment;FALSE
81;23595;adjustment;FALSE
82;37327;adjustment;FALSE
83;48189;adjustment;FALSE
84;35818B;adjustment;FALSE
85;51020A;adjustment;FALSE
86;84507C;adjustment;FALSE
87;85017C;adjustment;FALSE
88;21736;Adjustment;FALSE
89;17109D;Adjustment;FALSE
90;16162M;alan hodge cant mamage this section;FALSE
91;23084;allocate stock for dotcom orders ta;FALSE
92;22139;amazon;FALSE
93;22176;amazon;FALSE
94;22734;amazon;FALSE
95;82583;amazon;FALSE
96;85231G;amazon;FALSE
97;21868;Amazon;FALSE
98;21888;Amazon;FALSE
99;22087;Amazon;FALSE
100;22927;Amazon;FALSE
101;23084;Amazon;FALSE
102;82613A;Amazon;FALSE
103;85049B;Amazon;FALSE
104;22848;AMAZON;FALSE
105;22925;AMAZON;FALSE
106;72807A;AMAZON;FALSE
107;21823;amazon adjust;FALSE
108;20967;Amazon Adjustment;FALSE
109;AMAZONFEE;AMAZON FEE;FALSE
110;22734;amazon sales;FALSE
111;85175;Amazon sold sets;FALSE
112;BANK CHARGES;Bank Charges;FALSE
113;85025C;barcode problem;FALSE
114;23118;Breakages;FALSE
115;21320;broken;FALSE
116;23343;came coded as 20713;FALSE
117;22449;cant find;FALSE
118;C2;CARRIAGE;FALSE
119;10080;check;FALSE
120;16008;check;FALSE
121;16045;check;FALSE
122;20652;check;FALSE
123;20711;check;FALSE
124;20751;check;FALSE
125;20752;check;FALSE
126;20832;check;FALSE
127;20898;check;FALSE
128;20902;check;FALSE
129;20956;check;FALSE
130;21014;check;FALSE
131;21071;check;FALSE
132;21165;check;FALSE
133;21181;check;FALSE
134;21192;check;FALSE
135;21349;check;FALSE
136;21352;check;FALSE
137;21519;check;FALSE
138;21539;check;FALSE
139;21591;check;FALSE
140;21615;check;FALSE
141;21619;check;FALSE
142;21620;check;FALSE
143;21627;check;FALSE
144;21636;check;FALSE
145;21642;check;FALSE
146;21644;check;FALSE
147;21700;check;FALSE
148;21744;check;FALSE
149;21786;check;FALSE
150;21793;check;FALSE
151;21803;check;FALSE
152;21804;check;FALSE
153;21810;check;FALSE
154;21811;check;FALSE
155;21817;check;FALSE
156;21818;check;FALSE
157;21819;check;FALSE
158;21823;check;FALSE
159;21824;check;FALSE
160;21868;check;FALSE
161;21888;check;FALSE
162;21992;check;FALSE
163;22025;check;FALSE
164;22043;check;FALSE
165;22117;check;FALSE
166;22121;check;FALSE
167;22142;check;FALSE
168;22147;check;FALSE
169;22149;check;FALSE
170;22152;check;FALSE
171;22176;check;FALSE
172;22181;check;FALSE
173;22268;check;FALSE
174;22271;check;FALSE
175;22286;check;FALSE
176;22339;check;FALSE
177;22426;check;FALSE
178;22522;check;FALSE
179;22533;check;FALSE
180;22576;check;FALSE
181;22577;check;FALSE
182;22586;check;FALSE
183;22587;check;FALSE
184;22595;check;FALSE
185;22601;check;FALSE
186;22606;check;FALSE
187;22652;check;FALSE
188;22759;check;FALSE
189;22778;check;FALSE
190;22810;check;FALSE
191;22812;check;FALSE
192;22848;check;FALSE
193;22892;check;FALSE
194;22925;check;FALSE
195;22943;check;FALSE
196;22946;check;FALSE
197;22959;check;FALSE
198;23035;check;FALSE
199;23091;check;FALSE
200;23118;check;FALSE
201;23157;check;FALSE
202;23187;check;FALSE
203;23288;check;FALSE
204;23348;check;FALSE
205;23395;check;FALSE
206;23400;check;FALSE
207;23404;check;FALSE
208;35648;check;FALSE
209;35923;check;FALSE
210;35954;check;FALSE
211;35968;check;FALSE
212;35972;check;FALSE
213;40001;check;FALSE
214;71038;check;FALSE
215;72817;check;FALSE
216;72818;check;FALSE
217;82600;check;FALSE
218;84050;check;FALSE
219;84581;check;FALSE
220;84598;check;FALSE
221;84969;check;FALSE
222;85054;check;FALSE
223;85111;check;FALSE
224;85125;check;FALSE
225;85172;check;FALSE
226;85175;check;FALSE
227;85208;check;FALSE
228;16169E;check;FALSE
229;16207A;check;FALSE
230;17012B;check;FALSE
231;17012C;check;FALSE
232;17012F;check;FALSE
233;17136A;check;FALSE
234;35810A;check;FALSE
235;35819B;check;FALSE
236;35833P;check;FALSE
237;46000U;check;FALSE
238;47503A;check;FALSE
239;47503H;check;FALSE
240;47574A;check;FALSE
241;47590B;check;FALSE
242;72801C;check;FALSE
243;72802B;check;FALSE
244;72802C;check;FALSE
245;84249A;check;FALSE
246;84279P;check;FALSE
247;84508A;check;FALSE
248;84508C;check;FALSE
249;84659A;check;FALSE
250;84801A;check;FALSE
251;84968E;check;FALSE
252;84968F;check;FALSE
253;85019B;check;FALSE
254;85034A;check;FALSE
255;85035B;check;FALSE
256;85035C;check;FALSE
257;85036B;check;FALSE
258;85036C;check;FALSE
259;85135B;check;FALSE
260;85231G;check;FALSE
261;90012B;check;FALSE
262;90014A;check;FALSE
263;90195A;check;FALSE
264;90210D;check;FALSE
265;21618;CHECK;FALSE
266;23406;CHECK;FALSE
267;85035A;CHECK;FALSE
268;85107;check?;FALSE
269;84929;code mix up? 84930;FALSE
270;35954;counted;FALSE
271;84050;counted;FALSE
272;82494L;cracked;FALSE
273;CRUK;CRUK Commission;FALSE
274;82483;crushed;FALSE
275;84228;crushed;FALSE
276;23064;Crushed;FALSE
277;90057;crushed boxes;FALSE
278;82494L;crushed ctn;FALSE
279;84422;Dagamed;FALSE
280;10133;damaged;FALSE
281;20774;damaged;FALSE
282;20984;damaged;FALSE
283;21018;damaged;FALSE
284;21089;damaged;FALSE
285;21159;damaged;FALSE
286;21179;damaged;FALSE
287;21246;damaged;FALSE
288;21294;damaged;FALSE
289;21351;damaged;FALSE
290;21397;damaged;FALSE
291;21421;damaged;FALSE
292;21643;damaged;FALSE
293;21761;damaged;FALSE
294;21823;damaged;FALSE
295;21830;damaged;FALSE
296;22049;damaged;FALSE
297;22060;damaged;FALSE
298;22336;damaged;FALSE
299;22667;damaged;FALSE
300;22927;damaged;FALSE
301;23397;damaged;FALSE
302;23427;damaged;FALSE
303;37343;damaged;FALSE
304;48189;damaged;FALSE
305;79163;damaged;FALSE
306;84576;damaged;FALSE
307;84865;damaged;FALSE
308;84879;damaged;FALSE
309;35915C;damaged;FALSE
310;37488A;damaged;FALSE
311;47013A;damaged;FALSE
312;84249A;damaged;FALSE
313;84313C;damaged;FALSE
314;84563A;damaged;FALSE
315;84563B;damaged;FALSE
316;84660A;damaged;FALSE
317;84809B;damaged;FALSE
318;84876D;damaged;FALSE
319;84912B;damaged;FALSE
320;85032D;damaged;FALSE
321;85034A;damaged;FALSE
322;85132A;damaged;FALSE
323;21100;Damaged;FALSE
324;21654;Damaged;FALSE
325;22272;Damaged;FALSE
326;23113;Damaged;FALSE
327;23114;Damaged;FALSE
328;23115;Damaged;FALSE
329;23116;Damaged;FALSE
330;23117;Damaged;FALSE
331;85215;Damaged;FALSE
332;37482P;Damaged;FALSE
333;37487B;Damaged;FALSE
334;84313B;Damaged;FALSE
335;85019C;Damaged;FALSE
336;85230E;Damaged;FALSE
337;85167B;DAMAGED;FALSE
338;40016;damaged stock;FALSE
339;20803;damages;FALSE
340;20827;damages;FALSE
341;20839;damages;FALSE
342;20840;damages;FALSE
343;20893;damages;FALSE
344;21394;damages;FALSE
345;21398;damages;FALSE
346;21424;damages;FALSE
347;21527;damages;FALSE
348;21622;damages;FALSE
349;21735;damages;FALSE
350;21833;damages;FALSE
351;22149;damages;FALSE
352;22423;damages;FALSE
353;22427;damages;FALSE
354;22637;damages;FALSE
355;22784;damages;FALSE
356;22792;damages;FALSE
357;22797;damages;FALSE
358;23029;damages;FALSE
359;23032;damages;FALSE
360;23071;damages;FALSE
361;23072;damages;FALSE
362;23462;damages;FALSE
363;37327;damages;FALSE
364;71279;damages;FALSE
365;84609;damages;FALSE
366;84816;damages;FALSE
367;84818;damages;FALSE
368;35833G;damages;FALSE
369;72038P;damages;FALSE
370;72802C;damages;FALSE
371;72803A;damages;FALSE
372;72807A;damages;FALSE
373;72807B;damages;FALSE
374;72807C;damages;FALSE
375;79030D;damages;FALSE
376;79030G;damages;FALSE
377;84597B;damages;FALSE
378;84743C;damages;FALSE
379;85132C;damages;FALSE
380;85136A;damages;FALSE
381;85136C;damages;FALSE
382;85135C;Damages;FALSE
383;85036B;damages wax;FALSE
384;85036C;damages wax;FALSE
385;79164;damages/credits from ASOS,;FALSE
386;20893;damages/display;FALSE
387;37370;damages/dotcom?;FALSE
388;84352;Damages/samples;FALSE
389;22655;damages/showroom etc;FALSE
390;21098;damages?;FALSE
391;21539;damages?;FALSE
392;21781;damages?;FALSE
393;22217;damages?;FALSE
394;35241;damages?;FALSE
395;47556B;did  a credit  and did not tick ret;FALSE
396;D;Discount;FALSE
397;84763;Display;FALSE
398;20665;dotcom;FALSE
399;21181;dotcom;FALSE
400;21804;dotcom;FALSE
401;22043;dotcom;FALSE
402;22579;dotcom;FALSE
403;35965;dotcom;FALSE
404;46000S;Dotcom;FALSE
405;23118;dotcom adjust;FALSE
406;DOT;DOTCOM POSTAGE;FALSE
407;46000M;Dotcom sales;FALSE
408;46000S;Dotcom sales;FALSE
409;85172;Dotcom set;FALSE
410;22127;Dotcom sold in 6s;FALSE
411;85175;dotcom sold sets;FALSE
412;gift_0001_10;Dotcomgiftshop Gift Voucher £10,00;FALSE
413;22016;Dotcomgiftshop Gift Voucher £100,00;FALSE
414;gift_0001_20;Dotcomgiftshop Gift Voucher £20,00;FALSE
415;gift_0001_30;Dotcomgiftshop Gift Voucher £30,00;FALSE
416;gift_0001_40;Dotcomgiftshop Gift Voucher £40,00;FALSE
417;gift_0001_50;Dotcomgiftshop Gift Voucher £50,00;FALSE
418;22351;DOTCOMGIFTSHOP TEA TOWEL;FALSE
419;72817;dotcomstock;FALSE
420;DCGS0003;ebay;FALSE
421;DCGS0067;ebay;FALSE
422;DCGS0068;ebay;FALSE
423;DCGS0069;ebay;FALSE
424;DCGS0073;ebay;FALSE
425;22423;faulty;FALSE
426;82583;FBA;FALSE
427;23084;for online retail orders;FALSE
428;20713;found;FALSE
429;20984;found;FALSE
430;21051;found;FALSE
431;21082;found;FALSE
432;21147;found;FALSE
433;21174;found;FALSE
434;21578;found;FALSE
435;21644;found;FALSE
436;21937;found;FALSE
437;22759;found;FALSE
438;35965;found;FALSE
439;84929;found;FALSE
440;84944;found;FALSE
441;85054;found;FALSE
442;85127;found;FALSE
443;16168M;found;FALSE
444;17091A;found;FALSE
445;35598C;found;FALSE
446;47503H;found;FALSE
447;47593A;found;FALSE
448;84279P;found;FALSE
449;84875D;found;FALSE
450;84876B;found;FALSE
451;84877D;found;FALSE
452;85135C;found;FALSE
453;20748;Found;FALSE
454;20754;Found;FALSE
455;22501;Found;FALSE
456;22837;Found;FALSE
457;35968;Found;FALSE
458;85017C;Found;FALSE
459;85135B;Found;FALSE
460;22734;FOUND;FALSE
461;72127;found box;FALSE
462;35600A;Found by jackie;FALSE
463;85185B;Found in w/hse;FALSE
464;35965;found some more on shelf;FALSE
465;22351;Given away;FALSE
466;21098;had been put aside;FALSE
467;22121;had been put aside;FALSE
468;22687;had been put aside;FALSE
469;22689;had been put aside;FALSE
470;23131;had been put aside;FALSE
471;72802A;Had been put aside,;FALSE
472;23702;High Resolution Image;FALSE
473;82600;historic computer difference?,,,,se;FALSE
474;23269;incorrect stock entry,;FALSE
475;23270;incorrect stock entry,;FALSE
476;23268;Incorrect stock entry,;FALSE
477;47566B;incorrectly credited C550456 see 47;FALSE
478;84406B;incorrectly made-thrown away,;FALSE
479;22501;incorrectly put back into stock;FALSE
480;21915;John Lewis;FALSE
481;85096;label mix up;FALSE
482;23268;Lighthouse Trading zero invc incorr;FALSE
483;22578;lost;FALSE
484;20711;lost in space;FALSE
485;85204;lost??;FALSE
486;23200;mailout;FALSE
487;23202;mailout;FALSE
488;23203;mailout;FALSE
489;23209;mailout;FALSE
490;M;Manual;FALSE
491;20713;Marked as 23343;FALSE
492;20681;MIA;FALSE
493;84944;michel oops;FALSE
494;21890;missing;FALSE
495;23090;missing;FALSE
496;85078;missing;FALSE
